"","admin2","year","date","iso","household","individual","male","female","infant","child","youth","adult","elderly","fatalities","event","percent_adult","admin2pop","individual_norm"
"1","Fouli",2018,Jul 2018,"TCD",3992,15940,NA,NA,NA,NA,NA,NA,NA,18,1,48.9243491181601,91243.419201117,0.17469753040343
"2","Fouli",2019,Sep 2019,"TCD",NA,5126,2587,2539,524,769,1184,1498,247,6,4,49.2412841735641,91243.419201117,0.0561793940306135
"3","Fouli",2018,Oct 2018,"TCD",5569,19332,NA,NA,NA,NA,NA,NA,NA,59,1,48.9243491181601,91243.419201117,0.211872814163055
"4","Fouli",2019,Apr 2019,"TCD",15005,58235,NA,NA,NA,NA,NA,NA,3255,70,1,49.2412841735641,91243.419201117,0.638237809475766
"5","Fouli",2019,Feb 2019,"TCD",13154,49101,NA,NA,NA,NA,NA,NA,NA,0,2,49.2412841735641,91243.419201117,0.53813195987069
"6","Fouli",2020,Apr 2020,"TCD",NA,3692,1818,1874,440,579,665,1190,260,4,1,49.5799342505784,91243.419201117,0.0404631921110076
"7","Fouli",2019,Mar 2019,"TCD",3530,14843,NA,NA,NA,NA,NA,NA,593,2,1,49.2412841735641,91243.419201117,0.162674745531876
"8","Mamdi",2018,Feb 2018,"TCD",3137,13170,NA,NA,NA,NA,NA,NA,NA,2,1,48.9243491181601,111879.354440928,0.117716088601081
"9","Mamdi",2018,Sep 2018,"TCD",175,731,NA,NA,NA,NA,NA,NA,NA,22,2,48.9243491181601,111879.354440928,0.00653382390033334
"10","Mamdi",2018,Mar 2018,"TCD",2118,8855,NA,NA,NA,NA,NA,NA,NA,21,1,48.9243491181601,111879.354440928,0.079147757369975
"11","Mamdi",2018,Aug 2018,"TCD",1955,8172,NA,NA,NA,NA,NA,NA,NA,1,1,48.9243491181601,111879.354440928,0.0730429670499645
"12","Mamdi",2018,Oct 2018,"TCD",170,711,NA,NA,NA,NA,NA,NA,NA,1,1,48.9243491181601,111879.354440928,0.00635505990853215
"13","Mamdi",2019,Apr 2019,"TCD",NA,NA,NA,NA,NA,NA,NA,NA,385,11,2,49.2412841735641,111879.354440928,NA
"14","Mamdi",2018,Nov 2018,"TCD",3995,16699,NA,NA,NA,NA,NA,NA,NA,2,1,48.9243491181601,111879.354440928,0.1492589949544
"15","Mamdi",2019,Sep 2019,"TCD",NA,1483,724,759,139,232,330,444,86,6,3,49.2412841735641,111879.354440928,0.0132553499920579
"16","Mamdi",2019,Jan 2019,"TCD",2671,11162,NA,NA,NA,NA,NA,NA,NA,1,2,49.2412841735641,111879.354440928,0.0997681838242417
"17","Mamdi",2019,May 2019,"TCD",1269,5305,NA,NA,NA,NA,NA,NA,242,43,3,49.2412841735641,111879.354440928,0.0474171488252645
"18","Mamdi",2019,Feb 2019,"TCD",1455,6083,NA,NA,NA,NA,NA,NA,NA,0,1,49.2412841735641,111879.354440928,0.0543710681063306
"19","Mamdi",2020,Feb 2020,"TCD",NA,2337,1109,1228,262,333,416,733,199,0,1,49.5799342505784,111879.354440928,0.0208885724419685
"20","Mamdi",2019,Mar 2019,"TCD",2362,9871,NA,NA,NA,NA,NA,NA,361,23,1,49.2412841735641,111879.354440928,0.0882289681534752
